Table 1
Company,Year,ex_rate,,
AFRICA PRUDENTIAL PLC,2017,384.96,,
AFRICA PRUDENTIAL PLC,2018,363,,
African And Overseas Enterprises Limited,2014,11.56,,
African And Overseas Enterprises Limited,2015,15.53,,
African And Overseas Enterprises Limited,2016,13.66,,
African And Overseas Enterprises Limited,2017,12.36,,
African And Overseas Enterprises Limited,2018,14.39,,
African Oxygen Limited,2014,11.56,,
African Oxygen Limited,2015,15.53,,
African Oxygen Limited,2016,13.66,,
African Oxygen Limited,2017,12.36,,
African Oxygen Limited,2018,14.39,,
African Rainbow Minerals Limited,2014,11.56,,
African Rainbow Minerals Limited,2015,15.53,,
African Rainbow Minerals Limited,2016,13.66,,
African Rainbow Minerals Limited,2017,12.36,,
African Rainbow Minerals Limited,2018,14.39,,
Afrimat Limited,2014,11.56,,
Afrimat Limited,2015,15.53,,
Afrimat Limited,2016,13.66,,
Afrimat Limited,2017,12.36,,
Afrimat Limited,2018,14.39,,
AH-Vest Limited,2014,11.56,,
AH-Vest Limited,2015,15.53,,
AH-Vest Limited,2016,13.66,,
AH-Vest Limited,2017,12.36,,
AH-Vest Limited,2018,14.39,,
Air Mauritius,2014,0.824,,
Air Mauritius,2015,0.917,,
Air Mauritius,2016,0.948,,
Air Mauritius,2017,0.833,,
Air Mauritius,2018,0.874,,
Alaris Holdings Limited,2014,11.56,,
Alaris Holdings Limited,2015,15.53,,
Alaris Holdings Limited,2016,13.66,,
Alaris Holdings Limited,2017,12.36,,
Alaris Holdings Limited,2018,14.39,,
Allied Electronics Corporation Limited,2014,11.56,,
Allied Electronics Corporation Limited,2015,15.53,,
Allied Electronics Corporation Limited,2016,13.66,,
Allied Electronics Corporation Limited,2017,12.36,,
Allied Electronics Corporation Limited,2018,14.39,,
Alteo,2014,31.75,,
Alteo,2015,35.87,,
Alteo,2016,36,,
Alteo,2017,33.4,,
Alteo,2018,33.93,,
Andulela Investment Holdings Limited,2014,11.56,,
Andulela Investment Holdings Limited,2015,15.53,,
Andulela Investment Holdings Limited,2016,13.66,,
Andulela Investment Holdings Limited,2017,12.36,,
Andulela Investment Holdings Limited,2018,14.39,,
Anglo American Platinium Limited,2014,1,,
Anglo American Platinium Limited,2015,1,,
Anglo American Platinium Limited,2016,1,,
Anglo American Platinium Limited,2017,1,,
Anglo American Platinium Limited,2018,1,,
Anglo American Plc,2014,1,,
Anglo American Plc,2015,1,,
Anglo American Plc,2016,1,,
Anglo American Plc,2017,1,,
Anglo American Plc,2018,1,,
AngloGold Ashanti Depository Shares,2014,1,,
AngloGold Ashanti Depository Shares,2015,1,,
AngloGold Ashanti Depository Shares,2016,1,,
AngloGold Ashanti Depository Shares,2017,1,,
AngloGold Ashanti Depository Shares,2018,1,,
Anglogold Ashanti Limited,2014,1,,
Anglogold Ashanti Limited,2015,1,,
Anglogold Ashanti Limited,2016,1,,
Anglogold Ashanti Limited,2017,1,,
Anglogold Ashanti Limited,2018,1,,
ARB Holdings Limited,2014,11.56,,
ARB Holdings Limited,2015,15.53,,
ARB Holdings Limited,2016,13.66,,
ARB Holdings Limited,2017,12.36,,
ARB Holdings Limited,2018,14.39,,
Arcelormittal South Africa Limited,2014,11.56,,
Arcelormittal South Africa Limited,2015,15.53,,
Arcelormittal South Africa Limited,2016,13.66,,
Arcelormittal South Africa Limited,2017,12.36,,
Arcelormittal South Africa Limited,2018,14.39,,
Argent Industrial Limited,2014,11.56,,
Argent Industrial Limited,2015,15.53,,
Argent Industrial Limited,2016,13.66,,
Argent Industrial Limited,2017,12.36,,
Argent Industrial Limited,2018,14.39,,
Aspen Pharmacare Holdings Limited,2014,11.56,,
Aspen Pharmacare Holdings Limited,2015,15.53,,
Aspen Pharmacare Holdings Limited,2016,13.66,,
Aspen Pharmacare Holdings Limited,2017,12.36,,
Aspen Pharmacare Holdings Limited,2018,14.39,,
Assore Limited,2014,11.56,,
Assore Limited,2015,15.53,,
Assore Limited,2016,13.66,,
Assore Limited,2017,12.36,,
Assore Limited,2018,14.39,,
Automatic Systems,2014,31.75,,
Automatic Systems,2015,35.87,,
Automatic Systems,2016,36,,
Automatic Systems,2017,33.4,,
Automatic Systems,2018,33.93,,
Aveng Limited,2014,11.56,,
Aveng Limited,2015,15.53,,
Aveng Limited,2016,13.66,,
Aveng Limited,2017,12.36,,
Aveng Limited,2018,14.39,,
AVI Limited,2014,11.56,,
AVI Limited,2015,15.53,,
AVI Limited,2016,13.66,,
AVI Limited,2017,12.36,,
AVI Limited,2018,14.39,,
B O C Kenya,2014,90.62,,
B O C Kenya,2015,102.32,,
B O C Kenya,2016,102.31,,
B O C Kenya,2017,103.08,,
B O C Kenya,2018,101.66,,
Bamburi Cement,2014,90.62,,
Bamburi Cement,2015,102.32,,
Bamburi Cement,2016,102.31,,
Bamburi Cement,2017,103.08,,
Bamburi Cement,2018,101.66,,
Barloworld Limited,2014,11.56,,
Barloworld Limited,2015,15.53,,
Barloworld Limited,2016,13.66,,
Barloworld Limited,2017,12.36,,
Barloworld Limited,2018,14.39,,
Bauba Platinum Limited,2014,11.56,,
Bauba Platinum Limited,2015,15.53,,
Bauba Platinum Limited,2016,13.66,,
Bauba Platinum Limited,2017,12.36,,
Bauba Platinum Limited,2018,14.39,,
Bell Equipment Limited,2014,11.56,,
Bell Equipment Limited,2015,15.53,,
Bell Equipment Limited,2016,13.66,,
Bell Equipment Limited,2017,12.36,,
Bell Equipment Limited,2018,14.39,,
BHP Billiton Plc,2014,11.56,,
BHP Billiton Plc,2015,15.53,,
BHP Billiton Plc,2016,13.66,,
BHP Billiton Plc,2017,12.36,,
BHP Billiton Plc,2018,14.39,,
Blue Label Telecoms Limited,2014,11.56,,
Blue Label Telecoms Limited,2015,15.53,,
Blue Label Telecoms Limited,2016,13.66,,
Blue Label Telecoms Limited,2017,12.36,,
Blue Label Telecoms Limited,2018,14.39,,
Botswana Diamonds,2014,1,,
Botswana Diamonds,2015,1,,
Botswana Diamonds,2016,1,,
Botswana Diamonds,2017,1,,
Botswana Diamonds,2018,1,,
Bowler Metcalf Limited,2014,11.56,,
Bowler Metcalf Limited,2015,15.53,,
Bowler Metcalf Limited,2016,13.66,,
Bowler Metcalf Limited,2017,12.36,,
Bowler Metcalf Limited,2018,14.39,,
British American Tobacco Plc,2014,0.642,,
British American Tobacco Plc,2015,0.676,,
British American Tobacco Plc,2016,0.817,,
British American Tobacco Plc,2017,0.742,,
British American Tobacco Plc,2018,0.788,,
C & I LEASING PLC.,2014,183.21,,
C & I LEASING PLC.,2015,199.09,,
C & I LEASING PLC.,2016,304.23,,
C & I LEASING PLC.,2017,384.96,,
C & I LEASING PLC.,2018,363,,
CADBURY NIGERIA PLC.,2014,183.21,,
CADBURY NIGERIA PLC.,2015,199.09,,
CADBURY NIGERIA PLC.,2016,304.23,,
CADBURY NIGERIA PLC.,2017,384.96,,
CADBURY NIGERIA PLC.,2018,363,,
CAP PLC,2014,183.21,,
CAP PLC,2015,199.09,,
CAP PLC,2016,304.23,,
CAP PLC,2017,384.96,,
CAP PLC,2018,363,,
Capevin Holdings Limited,2014,11.56,,
Capevin Holdings Limited,2015,15.53,,
Capevin Holdings Limited,2016,13.66,,
Capevin Holdings Limited,2017,12.36,,
Capevin Holdings Limited,2018,14.39,,
CAPITAL HOTEL PLC[BLS],2014,183.21,,
CAPITAL HOTEL PLC[BLS],2015,199.09,,
CAPITAL HOTEL PLC[BLS],2016,304.23,,
CAPITAL HOTEL PLC[BLS],2017,384.96,,
CAPITAL HOTEL PLC[BLS],2018,363,,
Car & General (K),2014,90.62,,
Car & General (K),2015,102.32,,
Car & General (K),2016,102.31,,
Car & General (K),2017,103.08,,
Car & General (K),2018,101.66,,
Carbacid Investments,2014,90.62,,
Carbacid Investments,2015,102.32,,
Carbacid Investments,2016,102.31,,
Carbacid Investments,2017,103.08,,
Carbacid Investments,2018,101.66,,
Cargo Carriers Limited,2014,11.56,,
Cargo Carriers Limited,2015,15.53,,
Cargo Carriers Limited,2016,13.66,,
Cargo Carriers Limited,2017,12.36,,
Cargo Carriers Limited,2018,14.39,,
Cashbuild Limited,2014,11.56,,
Cashbuild Limited,2015,15.53,,
Cashbuild Limited,2016,13.66,,
Cashbuild Limited,2017,12.36,,
Cashbuild Limited,2018,14.39,,
CHAMPION BREW. PLC.[BLS],2014,183.21,,
CHAMPION BREW. PLC.[BLS],2015,199.09,,
CHAMPION BREW. PLC.[BLS],2016,304.23,,
CHAMPION BREW. PLC.[BLS],2017,384.96,,
CHAMPION BREW. PLC.[BLS],2018,363,,
CHAMS PLC,2014,183.21,,
CHAMS PLC,2015,199.09,,
CHAMS PLC,2016,304.23,,
CHAMS PLC,2017,384.96,,
CHAMS PLC,2018,363,,
Chobe Holdings,2014,9.52,,
Chobe Holdings,2015,11.23,,
Chobe Holdings,2016,10.71,,
Chobe Holdings,2017,9.87,,
Chobe Holdings,2018,10.72,,
Choppies Enterprises,2014,9.52,,
Choppies Enterprises,2015,11.23,,
Choppies Enterprises,2016,10.71,,
Choppies Enterprises,2017,9.87,,
Choppies Enterprises,2018,10.72,,
Chrometco Limited,2014,11.56,,
Chrometco Limited,2015,15.53,,
Chrometco Limited,2016,13.66,,
Chrometco Limited,2017,12.36,,
Chrometco Limited,2018,14.39,,
City Lodge Hotels Limited,2014,11.56,,
City Lodge Hotels Limited,2015,15.53,,
City Lodge Hotels Limited,2016,13.66,,
City Lodge Hotels Limited,2017,12.36,,
City Lodge Hotels Limited,2018,14.39,,
Clicks Group Limited,2014,11.56,,
Clicks Group Limited,2015,15.53,,
Clicks Group Limited,2016,13.66,,
Clicks Group Limited,2017,12.36,,
Clicks Group Limited,2018,14.39,,
Clover Industries Limited,2014,11.56,,
Clover Industries Limited,2015,15.53,,
Clover Industries Limited,2016,13.66,,
Clover Industries Limited,2017,12.36,,
Clover Industries Limited,2018,14.39,,
Cognition Holdings Limited,2014,11.56,,
Cognition Holdings Limited,2015,15.53,,
Cognition Holdings Limited,2016,13.66,,
Cognition Holdings Limited,2017,12.36,,
Cognition Holdings Limited,2018,14.39,,
Comair Limited,2014,11.56,,
Comair Limited,2015,15.53,,
Comair Limited,2016,13.66,,
Comair Limited,2017,12.36,,
Comair Limited,2018,14.39,,
Combined Motor Holdings Limited,2014,11.56,,
Combined Motor Holdings Limited,2015,15.53,,
Combined Motor Holdings Limited,2016,13.66,,
Combined Motor Holdings Limited,2017,12.36,,
Combined Motor Holdings Limited,2018,14.39,,
Compagnie Financiere Richemont SA,2014,11.56,,
Compagnie Financiere Richemont SA,2015,15.53,,
Compagnie Financiere Richemont SA,2016,13.66,,
Compagnie Financiere Richemont SA,2017,12.36,,
Compagnie Financiere Richemont SA,2018,14.39,,
ComputerWarehouseGroupPlc,2014,183.21,,
ComputerWarehouseGroupPlc,2015,199.09,,
ComputerWarehouseGroupPlc,2016,304.23,,
ComputerWarehouseGroupPlc,2017,384.96,,
ComputerWarehouseGroupPlc,2018,363,,
CONOIL PLC,2014,183.21,,
CONOIL PLC,2015,199.09,,
CONOIL PLC,2016,304.23,,
CONOIL PLC,2017,384.96,,
CONOIL PLC,2018,363,,
Consolidated Infrastructure Group Ltd,2014,11.56,,
Consolidated Infrastructure Group Ltd,2015,15.53,,
Consolidated Infrastructure Group Ltd,2016,13.66,,
Consolidated Infrastructure Group Ltd,2017,12.36,,
Consolidated Infrastructure Group Ltd,2018,14.39,,
Cresta Marakanelo,2014,9.52,,
Cresta Marakanelo,2015,11.23,,
Cresta Marakanelo,2016,10.71,,
Cresta Marakanelo,2017,9.87,,
Cresta Marakanelo,2018,10.72,,
Crookes Brothers Limited,2014,11.56,,
Crookes Brothers Limited,2015,15.53,,
Crookes Brothers Limited,2016,13.66,,
Crookes Brothers Limited,2017,12.36,,
Crookes Brothers Limited,2018,14.39,,
Crown Paints Kenya,2014,90.62,,
Crown Paints Kenya,2015,102.32,,
Crown Paints Kenya,2016,102.31,,
Crown Paints Kenya,2017,103.08,,
Crown Paints Kenya,2018,101.66,,
Curro Holdings Limited,2014,11.56,,
Curro Holdings Limited,2015,15.53,,
Curro Holdings Limited,2016,13.66,,
Curro Holdings Limited,2017,12.36,,
Curro Holdings Limited,2018,14.39,,
DANGOTE CEMENT PLC,2014,183.21,,
DANGOTE CEMENT PLC,2015,199.09,,
DANGOTE CEMENT PLC,2016,304.23,,
DANGOTE CEMENT PLC,2017,384.96,,
DANGOTE CEMENT PLC,2018,363,,
DANGOTE SUGAR REFINERY PLC,2014,183.21,,
DANGOTE SUGAR REFINERY PLC,2015,199.09,,
DANGOTE SUGAR REFINERY PLC,2016,304.23,,
DANGOTE SUGAR REFINERY PLC,2017,384.96,,
DANGOTE SUGAR REFINERY PLC,2018,363,,
Datatec Limited,2014,1,,
Datatec Limited,2015,1,,
Datatec Limited,2016,1,,
Datatec Limited,2017,1,,
Datatec Limited,2018,1,,
Distell Group Limited,2014,11.56,,
Distell Group Limited,2015,15.53,,
Distell Group Limited,2016,13.66,,
Distell Group Limited,2017,12.36,,
Distell Group Limited,2018,14.39,,
Distribution And Warehousing Network Ld,2014,11.56,,
Distribution And Warehousing Network Ld,2015,15.53,,
Distribution And Warehousing Network Ld,2016,13.66,,
Distribution And Warehousing Network Ld,2017,12.36,,
Distribution And Warehousing Network Ld,2018,14.39,,
East African Breweries,2014,90.62,,
East African Breweries,2015,102.32,,
East African Breweries,2016,102.31,,
East African Breweries,2017,103.08,,
East African Breweries,2018,101.66,,
Efora Energy Limited,2014,11.56,,
Efora Energy Limited,2015,15.53,,
Efora Energy Limited,2016,13.66,,
Efora Energy Limited,2017,12.36,,
Efora Energy Limited,2018,14.39,,
ELB Group Limited,2014,11.56,,
ELB Group Limited,2015,15.53,,
ELB Group Limited,2016,13.66,,
ELB Group Limited,2017,12.36,,
ELB Group Limited,2018,14.39,,
Ellies Holdings Limited,2014,11.56,,
Ellies Holdings Limited,2015,15.53,,
Ellies Holdings Limited,2016,13.66,,
Ellies Holdings Limited,2017,12.36,,
Ellies Holdings Limited,2018,14.39,,
Engen Botswana,2014,9.52,,
Engen Botswana,2015,11.23,,
Engen Botswana,2016,10.71,,
Engen Botswana,2017,9.87,,
Engen Botswana,2018,10.72,,
enX Group Limited,2014,11.56,,
enX Group Limited,2015,15.53,,
enX Group Limited,2016,13.66,,
enX Group Limited,2017,12.36,,
enX Group Limited,2018,14.39,,
EOH Holdings Limited,2014,11.56,,
EOH Holdings Limited,2015,15.53,,
EOH Holdings Limited,2016,13.66,,
EOH Holdings Limited,2017,12.36,,
EOH Holdings Limited,2018,14.39,,
Esor Limited,2014,11.56,,
Esor Limited,2015,15.53,,
Esor Limited,2016,13.66,,
Esor Limited,2017,12.36,,
Esor Limited,2018,14.39,,
ETERNA PLC.,2014,183.21,,
ETERNA PLC.,2015,199.09,,
ETERNA PLC.,2016,304.23,,
ETERNA PLC.,2017,384.96,,
ETERNA PLC.,2018,363,,
E-TRANZACT INTERNATIONAL PLC[BLS],2014,183.21,,
E-TRANZACT INTERNATIONAL PLC[BLS],2015,199.09,,
E-TRANZACT INTERNATIONAL PLC[BLS],2016,304.23,,
E-TRANZACT INTERNATIONAL PLC[BLS],2017,384.96,,
E-TRANZACT INTERNATIONAL PLC[BLS],2018,363,,
Eveready East Africa,2014,90.62,,
Eveready East Africa,2015,102.32,,
Eveready East Africa,2016,102.31,,
Eveready East Africa,2017,103.08,,
Eveready East Africa,2018,101.66,,
Express Kenya,2014,90.62,,
Express Kenya,2015,102.32,,
Express Kenya,2016,102.31,,
Express Kenya,2017,103.08,,
Express Kenya,2018,101.66,,
Exxaro Resources Limited,2014,11.56,,
Exxaro Resources Limited,2015,15.53,,
Exxaro Resources Limited,2016,13.66,,
Exxaro Resources Limited,2017,12.36,,
Exxaro Resources Limited,2018,14.39,,
Fan Milk Limited,2014,3.21,,
Fan Milk Limited,2015,3.82,,
Fan Milk Limited,2016,4.26,,
Fan Milk Limited,2017,4.52,,
Fan Milk Limited,2018,4.83,,
Ferrum Crescent Limited,2014,11.56,,
Ferrum Crescent Limited,2015,15.53,,
Ferrum Crescent Limited,2016,13.66,,
Ferrum Crescent Limited,2017,12.36,,
Ferrum Crescent Limited,2018,14.39,,
Flame Tree Group Holdings,2014,90.62,,
Flame Tree Group Holdings,2015,102.32,,
Flame Tree Group Holdings,2016,102.31,,
Flame Tree Group Holdings,2017,103.08,,
Flame Tree Group Holdings,2018,101.66,,
FLOUR MILLS NIG. PLC.,2014,183.21,,
FLOUR MILLS NIG. PLC.,2015,199.09,,
FLOUR MILLS NIG. PLC.,2016,304.23,,
FLOUR MILLS NIG. PLC.,2017,384.96,,
FLOUR MILLS NIG. PLC.,2018,363,,
FORTE OIL PLC.,2014,183.21,,
FORTE OIL PLC.,2015,199.09,,
FORTE OIL PLC.,2016,304.23,,
FORTE OIL PLC.,2017,384.96,,
FORTE OIL PLC.,2018,363,,
G4S Botswana,2014,9.52,,
G4S Botswana,2015,11.23,,
G4S Botswana,2016,10.71,,
G4S Botswana,2017,9.87,,
G4S Botswana,2018,10.72,,
Gamma Civic,2014,31.75,,
Gamma Civic,2015,35.87,,
Gamma Civic,2016,36,,
Gamma Civic,2017,33.4,,
Gamma Civic,2018,33.93,,
Ghana Oil Company Limited,2014,3.21,,
Ghana Oil Company Limited,2015,3.82,,
Ghana Oil Company Limited,2016,4.26,,
Ghana Oil Company Limited,2017,4.52,,
Ghana Oil Company Limited,2018,4.83,,
GLAXO SMITHKLINE CONSUMER NIG. PLC.,2014,183.21,,
GLAXO SMITHKLINE CONSUMER NIG. PLC.,2015,199.09,,
GLAXO SMITHKLINE CONSUMER NIG. PLC.,2016,304.23,,
GLAXO SMITHKLINE CONSUMER NIG. PLC.,2017,384.96,,
GLAXO SMITHKLINE CONSUMER NIG. PLC.,2018,363,,
Glencore Plc,2014,11.56,,
Glencore Plc,2015,15.53,,
Glencore Plc,2016,13.66,,
Glencore Plc,2017,12.36,,
Glencore Plc,2018,14.39,,
Gold Fields Limited,2014,1,,
Gold Fields Limited,2015,1,,
Gold Fields Limited,2016,1,,
Gold Fields Limited,2017,1,,
Gold Fields Limited,2018,1,,
Grand Parade Investments Limited,2014,11.56,,
Grand Parade Investments Limited,2015,15.53,,
Grand Parade Investments Limited,2016,13.66,,
Grand Parade Investments Limited,2017,12.36,,
Grand Parade Investments Limited,2018,14.39,,
Group Five Limited,2014,11.56,,
Group Five Limited,2015,15.53,,
Group Five Limited,2016,13.66,,
Group Five Limited,2017,12.36,,
Group Five Limited,2018,14.39,,
Guinness Ghana Breweries Ltd.,2014,3.21,,
Guinness Ghana Breweries Ltd.,2015,3.82,,
Guinness Ghana Breweries Ltd.,2016,4.26,,
Guinness Ghana Breweries Ltd.,2017,4.52,,
Guinness Ghana Breweries Ltd.,2018,4.83,,
GUINNESS NIG PLC,2014,183.21,,
GUINNESS NIG PLC,2015,199.09,,
GUINNESS NIG PLC,2016,304.23,,
GUINNESS NIG PLC,2017,384.96,,
GUINNESS NIG PLC,2018,363,,
Harel Mallac,2014,31.75,,
Harel Mallac,2015,35.87,,
Harel Mallac,2016,36,,
Harel Mallac,2017,33.4,,
Harel Mallac,2018,33.93,,
Harmony Gold Mining Company Limited,2014,1,,
Harmony Gold Mining Company Limited,2015,1,,
Harmony Gold Mining Company Limited,2016,1,,
Harmony Gold Mining Company Limited,2017,1,,
Harmony Gold Mining Company Limited,2018,1,,
Homechoice International Plc,2014,11.56,,
Homechoice International Plc,2015,15.53,,
Homechoice International Plc,2016,13.66,,
Homechoice International Plc,2017,12.36,,
Homechoice International Plc,2018,14.39,,
HONEYWELL FLOUR MILL PLC,2014,183.21,,
HONEYWELL FLOUR MILL PLC,2015,199.09,,
HONEYWELL FLOUR MILL PLC,2016,304.23,,
HONEYWELL FLOUR MILL PLC,2017,384.96,,
HONEYWELL FLOUR MILL PLC,2018,363,,
Hosken Consolidated Investments Ltd,2014,11.56,,
Hosken Consolidated Investments Ltd,2015,15.53,,
Hosken Consolidated Investments Ltd,2016,13.66,,
Hosken Consolidated Investments Ltd,2017,12.36,,
Hosken Consolidated Investments Ltd,2018,14.39,,
IKEJA HOTEL PLC,2014,183.21,,
IKEJA HOTEL PLC,2015,199.09,,
IKEJA HOTEL PLC,2016,304.23,,
IKEJA HOTEL PLC,2017,384.96,,
IKEJA HOTEL PLC,2018,363,,
Innodis,2014,31.75,,
Innodis,2015,35.87,,
Innodis,2016,36,,
Innodis,2017,33.4,,
Innodis,2018,33.93,,
INTERNATIONAL BREWERIES PLC.,2014,183.21,,
INTERNATIONAL BREWERIES PLC.,2015,199.09,,
INTERNATIONAL BREWERIES PLC.,2016,304.23,,
INTERNATIONAL BREWERIES PLC.,2017,384.96,,
INTERNATIONAL BREWERIES PLC.,2018,363,,
JAPAUL OIL & MARITIME SERVICES PLC,2014,183.21,,
JAPAUL OIL & MARITIME SERVICES PLC,2015,199.09,,
JAPAUL OIL & MARITIME SERVICES PLC,2016,304.23,,
JAPAUL OIL & MARITIME SERVICES PLC,2017,384.96,,
JAPAUL OIL & MARITIME SERVICES PLC,2018,363,,
Jasco Electronics Holdings Limited,2014,11.56,,
Jasco Electronics Holdings Limited,2015,15.53,,
Jasco Electronics Holdings Limited,2016,13.66,,
Jasco Electronics Holdings Limited,2017,12.36,,
Jasco Electronics Holdings Limited,2018,14.39,,
JOHN HOLT PLC.,2014,183.21,,
JOHN HOLT PLC.,2015,199.09,,
JOHN HOLT PLC.,2016,304.23,,
JOHN HOLT PLC.,2017,384.96,,
JOHN HOLT PLC.,2018,363,,
JULIUS BERGER NIG. PLC.,2014,183.21,,
JULIUS BERGER NIG. PLC.,2015,199.09,,
JULIUS BERGER NIG. PLC.,2016,304.23,,
JULIUS BERGER NIG. PLC.,2017,384.96,,
JULIUS BERGER NIG. PLC.,2018,363,,
Kaap Agri Limited,2014,11.56,,
Kaap Agri Limited,2015,15.53,,
Kaap Agri Limited,2016,13.66,,
Kaap Agri Limited,2017,12.36,,
Kaap Agri Limited,2018,14.39,,
Kakuzi,2014,90.62,,
Kakuzi,2015,102.32,,
Kakuzi,2016,102.31,,
Kakuzi,2017,103.08,,
Kakuzi,2018,101.66,,
KAP Industrial Holdings Limited,2014,11.56,,
KAP Industrial Holdings Limited,2015,15.53,,
KAP Industrial Holdings Limited,2016,13.66,,
KAP Industrial Holdings Limited,2017,12.36,,
KAP Industrial Holdings Limited,2018,14.39,,
Kaydav Group Limited,2014,11.56,,
Kaydav Group Limited,2015,15.53,,
Kaydav Group Limited,2016,13.66,,
Kaydav Group Limited,2017,12.36,,
Kaydav Group Limited,2018,14.39,,
KenGen Company,2014,90.62,,
KenGen Company,2015,102.32,,
KenGen Company,2016,102.31,,
KenGen Company,2017,103.08,,
KenGen Company,2018,101.66,,
Kenya Airways,2014,90.62,,
Kenya Airways,2015,102.32,,
Kenya Airways,2016,102.31,,
Kenya Airways,2017,103.08,,
Kenya Airways,2018,101.66,,
Kenya Power & Lighting,2014,90.62,,
Kenya Power & Lighting,2015,102.32,,
Kenya Power & Lighting,2016,102.31,,
Kenya Power & Lighting,2017,103.08,,
Kenya Power & Lighting,2018,101.66,,
Kore Potash Plc,2014,1,,
Kore Potash Plc,2015,1,,
Kore Potash Plc,2016,1,,
Kore Potash Plc,2017,1,,
Kore Potash Plc,2018,1,,
Kumba Iron Ore Limited,2014,11.56,,
Kumba Iron Ore Limited,2015,15.53,,
Kumba Iron Ore Limited,2016,13.66,,
Kumba Iron Ore Limited,2017,12.36,,
Kumba Iron Ore Limited,2018,14.39,,
Labat Africa Limited,2014,11.56,,
Labat Africa Limited,2015,15.53,,
Labat Africa Limited,2016,13.66,,
Labat Africa Limited,2017,12.36,,
Labat Africa Limited,2018,14.39,,
LAFARGE AFRICA PLC.,2014,183.21,,
LAFARGE AFRICA PLC.,2015,199.09,,
LAFARGE AFRICA PLC.,2016,304.23,,
LAFARGE AFRICA PLC.,2017,384.96,,
LAFARGE AFRICA PLC.,2018,363,,
LEARN AFRICA PLC,2014,183.21,,
LEARN AFRICA PLC,2015,199.09,,
LEARN AFRICA PLC,2016,304.23,,
LEARN AFRICA PLC,2017,384.96,,
LEARN AFRICA PLC,2018,363,,
Les Gaz Industriels Ltee,2014,31.75,,
Les Gaz Industriels Ltee,2015,35.87,,
Les Gaz Industriels Ltee,2016,36,,
Les Gaz Industriels Ltee,2017,33.4,,
Les Gaz Industriels Ltee,2018,33.93,,
Lewis Group Limited,2014,11.56,,
Lewis Group Limited,2015,15.53,,
Lewis Group Limited,2016,13.66,,
Lewis Group Limited,2017,12.36,,
Lewis Group Limited,2018,14.39,,
Life Healthcare Group Holdings Ltd,2014,11.56,,
Life Healthcare Group Holdings Ltd,2015,15.53,,
Life Healthcare Group Holdings Ltd,2016,13.66,,
Life Healthcare Group Holdings Ltd,2017,12.36,,
Life Healthcare Group Holdings Ltd,2018,14.39,,
LIVESTOCK FEEDS PLC.,2014,183.21,,
LIVESTOCK FEEDS PLC.,2015,199.09,,
LIVESTOCK FEEDS PLC.,2016,304.23,,
LIVESTOCK FEEDS PLC.,2017,384.96,,
LIVESTOCK FEEDS PLC.,2018,363,,
Longhorn Publishers,2014,90.62,,
Longhorn Publishers,2015,102.32,,
Longhorn Publishers,2016,102.31,,
Longhorn Publishers,2017,103.08,,
Longhorn Publishers,2018,101.66,,
Lonmin Plc,2014,11.56,,
Lonmin Plc,2015,15.53,,
Lonmin Plc,2016,13.66,,
Lonmin Plc,2017,12.36,,
Lonmin Plc,2018,14.39,,
Massmart Holdings Limited,2014,11.56,,
Massmart Holdings Limited,2015,15.53,,
Massmart Holdings Limited,2016,13.66,,
Massmart Holdings Limited,2017,12.36,,
Massmart Holdings Limited,2018,14.39,,
Master Drilling Group Ltd,2014,11.56,,
